condition,session,b1,b2,r1,r2,schedule_r1,schedule_r2,PID
1,1,66,405,1,5,1,9,P07
1,2,92,721,1,7,1,9,P07
1,3,275,691,1,4,1,9,P07
1,4,104,860,1,8,1,9,P07
1,5,17,653,1,6,1,9,P07
1,6,53,839,1,8,1,9,P07
1,7,42,558,1,12,1,9,P07
1,8,78,896,1,11,1,9,P07
1,9,43,687,1,3,1,9,P07
1,10,76,682,1,7,1,9,P07
1,11,62,724,1,6,1,9,P07
1,12,46,600,1,7,1,9,P07
1,13,223,522,1,6,1,9,P07
1,14,169,645,1,9,1,9,P07
1,15,71,382,1,3,1,9,P07
1,16,74,488,1,9,1,9,P07
1,17,87,339,1,4,1,9,P07
1,18,85,826,1,8,1,9,P07
1,19,42,375,1,15,1,9,P07
1,20,129,591,1,6,1,9,P07
1,21,77,766,1,9,1,9,P07
1,22,77,380,1,7,1,9,P07
1,23,62,413,1,5,1,9,P07
1,24,246,627,1,5,1,9,P07
1,25,130,785,1,11,1,9,P07
1,26,226,426,1,4,1,9,P07
1,27,54,420,1,12,1,9,P07
1,28,60,612,1,8,1,9,P07
1,29,103,780,2,13,1,9,P07
1,30,57,681,1,11,1,9,P07
1,31,32,558,1,10,1,9,P07
1,32,114,518,1,6,1,9,P07
1,33,45,670,2,13,1,9,P07
1,34,66,707,1,15,1,9,P07
1,35,42,803,1,8,1,9,P07
1,36,78,624,1,13,1,9,P07
1,37,116,467,1,8,1,9,P07
1,38,93,587,1,3,1,9,P07
1,39,73,839,1,5,1,9,P07
1,40,41,366,1,7,1,9,P07
1,41,142,765,1,3,1,9,P07
1,42,82,548,1,11,1,9,P07
1,43,101,613,1,4,1,9,P07
1,44,107,535,2,7,1,9,P07
1,45,185,624,1,5,1,9,P07
1,46,44,365,1,2,1,9,P07
1,47,162,332,1,7,1,9,P07
1,48,59,610,1,13,1,9,P07
1,49,28,762,1,12,1,9,P07
1,50,141,417,1,5,1,9,P07
1,51,116,352,1,5,1,9,P07
1,52,225,530,1,2,1,9,P07
1,53,71,748,1,6,1,9,P07
1,54,64,579,1,6,1,9,P07
1,55,57,498,1,9,1,9,P07
1,56,113,591,1,7,1,9,P07
1,57,89,472,1,5,1,9,P07
1,58,49,404,1,11,1,9,P07
1,59,119,427,1,8,1,9,P07
1,60,126,499,1,8,1,9,P07
1,61,27,607,1,10,1,9,P07
1,62,48,378,1,7,1,9,P07
1,63,122,648,1,9,1,9,P07
1,64,62,804,1,8,1,9,P07
1,65,79,428,1,12,1,9,P07
1,66,52,615,1,11,1,9,P07
1,67,113,729,1,5,1,9,P07
