trial,alpha,V,delta_V,lambda,theta,dataset_id,alpha1,alpha2,V1,V2,delta_V1,delta_V2,alpha1_init,alpha2_init,phase
1,0.505,0.05,0.05,1.0,0.1,Basic_1,,,,,,,,,
2,0.5147975,0.097975,0.047975000000000004,1.0,0.1,Basic_1,,,,,,,,,
3,0.529238602149375,0.14441102149375,0.04643602149375,1.0,0.1,Basic_1,,,,,,,,,
4,0.5482078114487406,0.18969209299365597,0.04528107149990594,1.0,0.1,Basic_1,,,,,,,,,
5,0.5716191919911018,0.2341138054236117,0.044421712429955754,1.0,0.1,Basic_1,,,,,,,,,
6,0.5994085250104719,0.2778933301937012,0.043779524770089485,1.0,0.1,Basic_1,,,,,,,,,
7,0.6315262269683303,0.32117701957858297,0.043283689384881745,1.0,0.1,Basic_1,,,,,,,,,
8,0.667930874082238,0.3640464711390764,0.04286945156049342,1.0,0.1,Basic_1,,,,,,,,,
9,0.7085832511602232,0.40652377077985247,0.042477299640776046,1.0,0.1,Basic_1,,,,,,,,,
10,0.7534409013980797,0.44857650237856467,0.04205273159871221,1.0,0.1,Basic_1,,,,,,,,,
11,0.8024532018069359,0.4901230040885623,0.041546501709997616,1.0,0.1,Basic_1,,,,,,,,,
12,0.8555570264947605,0.5310382468782459,0.040915242789683524,1.0,0.1,Basic_1,,,,,,,,,
13,0.9126730864129913,0.5711605991823077,0.0401223523040618,1.0,0.1,Basic_1,,,,,,,,,
14,0.9737030481264198,0.6102996171342858,0.03913901795197811,1.0,0.1,Basic_1,,,,,,,,,
15,1.0,0.6482448621995237,0.03794524506523787,1.0,0.1,Basic_1,,,,,,,,,
16,1.0,0.6834203759795714,0.03517551378004763,1.0,0.1,Basic_1,,,,,,,,,
17,1.0,0.7150783383816143,0.03165796240204286,1.0,0.1,Basic_1,,,,,,,,,
18,1.0,0.7435705045434529,0.028492166161838573,1.0,0.1,Basic_1,,,,,,,,,
19,1.0,0.7692134540891076,0.025642949545654714,1.0,0.1,Basic_1,,,,,,,,,
20,1.0,0.7922921086801968,0.023078654591089244,1.0,0.1,Basic_1,,,,,,,,,
21,1.0,0.8130628978121771,0.020770789131980317,1.0,0.1,Basic_1,,,,,,,,,
22,1.0,0.8317566080309594,0.01869371021878229,1.0,0.1,Basic_1,,,,,,,,,
23,1.0,0.8485809472278635,0.01682433919690406,1.0,0.1,Basic_1,,,,,,,,,
24,1.0,0.8637228525050771,0.015141905277213652,1.0,0.1,Basic_1,,,,,,,,,
25,1.0,0.8773505672545694,0.013627714749492294,1.0,0.1,Basic_1,,,,,,,,,
1,0.52,0.1,0.1,1.0,0.2,Basic_2,,,,,,,,,
2,0.55872,0.19360000000000002,0.09360000000000002,1.0,0.2,Basic_2,,,,,,,,,
3,0.61546207232,0.2837103616,0.09011036160000001,1.0,0.2,Basic_2,,,,,,,,,
4,0.6898381088492404,0.3718801826462015,0.0881698210462015,1.0,0.2,Basic_2,,,,,,,,,
5,0.7815461848558436,0.45854038003301645,0.08666019738681494,1.0,0.2,Basic_2,,,,,,,,,
