subject,component,baseline_rate,disruption_level,disrupted_rate
1,rich,45.2,0,45.2
1,rich,45.2,25,41.8
1,rich,45.2,50,36.5
1,rich,45.2,75,30.1
1,rich,45.2,100,25.7
1,lean,22.8,0,22.8
1,lean,22.8,25,17.6
1,lean,22.8,50,11.9
1,lean,22.8,75,7.2
1,lean,22.8,100,3.8
2,rich,51.6,0,51.6
2,rich,51.6,25,47.9
2,rich,51.6,50,42.3
2,rich,51.6,75,35.8
2,rich,51.6,100,29.4
2,lean,26.3,0,26.3
2,lean,26.3,25,20.1
2,lean,26.3,50,13.7
2,lean,26.3,75,8.5
2,lean,26.3,100,4.1
3,rich,39.7,0,39.7
3,rich,39.7,25,36.8
3,rich,39.7,50,31.4
3,rich,39.7,75,26.9
3,rich,39.7,100,22.1
3,lean,19.4,0,19.4
3,lean,19.4,25,14.8
3,lean,19.4,50,9.6
3,lean,19.4,75,5.7
3,lean,19.4,100,2.9
4,rich,48.1,0,48.1
4,rich,48.1,25,44.5
4,rich,48.1,50,39.2
4,rich,48.1,75,33.6
4,rich,48.1,100,27.3
4,lean,24.5,0,24.5
4,lean,24.5,25,18.9
4,lean,24.5,50,12.4
4,lean,24.5,75,7.8
4,lean,24.5,100,3.6
