session,condition,duration_min,count,rate_per_min
1,attention,5.0,8,1.6
2,escape,5.0,17,3.4
3,tangible,5.0,10,2.0
4,play,5.0,13,2.6
5,attention,5.0,8,1.6
6,escape,5.0,11,2.2
7,tangible,5.0,6,1.2
8,play,5.0,7,1.4
9,attention,5.0,12,2.4
10,escape,5.0,13,2.6
11,tangible,5.0,10,2.0
12,play,5.0,11,2.2
13,attention,5.0,10,2.0
14,escape,5.0,14,2.8
15,tangible,5.0,14,2.8
16,play,5.0,10,2.0
17,attention,5.0,7,1.4
18,escape,5.0,9,1.8
19,tangible,5.0,14,2.8
20,play,5.0,8,1.6
21,attention,5.0,11,2.2
22,escape,5.0,17,3.4
23,tangible,5.0,7,1.4
24,play,5.0,6,1.2
25,attention,5.0,15,3.0
26,escape,5.0,14,2.8
27,tangible,5.0,12,2.4
28,play,5.0,13,2.6
29,attention,5.0,14,2.8
30,escape,5.0,17,3.4
31,tangible,5.0,9,1.8
32,play,5.0,12,2.4
33,attention,5.0,9,1.8
34,escape,5.0,10,2.0
35,tangible,5.0,5,1.0
36,play,5.0,9,1.8
37,attention,5.0,11,2.2
38,escape,5.0,18,3.6
39,tangible,5.0,13,2.6
40,play,5.0,10,2.0
