session,condition,duration_min,count,rate_per_min
1,attention,10.0,84,8.4
2,escape,10.0,12,1.2
3,tangible,10.0,21,2.1
4,play,10.0,3,0.3
5,attention,10.0,91,9.1
6,escape,10.0,8,0.8
7,tangible,10.0,17,1.7
8,play,10.0,5,0.5
9,attention,10.0,79,7.9
10,escape,10.0,15,1.5
11,tangible,10.0,24,2.4
12,play,10.0,2,0.2
13,attention,10.0,102,10.2
14,escape,10.0,6,0.6
15,tangible,10.0,19,1.9
16,play,10.0,4,0.4
17,attention,10.0,87,8.7
18,escape,10.0,11,1.1
19,tangible,10.0,20,2.0
20,play,10.0,1,0.1
21,attention,10.0,95,9.5
22,escape,10.0,9,0.9
23,tangible,10.0,16,1.6
24,play,10.0,3,0.3
25,attention,10.0,110,11.0
26,escape,10.0,13,1.3
27,tangible,10.0,23,2.3
28,play,10.0,6,0.6
29,attention,10.0,82,8.2
30,escape,10.0,7,0.7
31,tangible,10.0,18,1.8
32,play,10.0,2,0.2
33,attention,10.0,98,9.8
34,escape,10.0,10,1.0
35,tangible,10.0,25,2.5
36,play,10.0,4,0.4
37,attention,10.0,105,10.5
38,escape,10.0,14,1.4
39,tangible,10.0,22,2.2
40,play,10.0,3,0.3
