subject,time_s
M-01,13.825
M-01,17.394
M-01,21.404
M-01,23.925
M-01,35.203
M-01,40.143
M-01,41.122
M-01,43.378
M-01,44.099
M-01,45.723
M-01,48.046
M-01,51.057
M-01,57.805
M-01,62.716
M-01,64.891
M-01,72.687
M-01,81.839
M-01,83.169
M-01,88.091
M-01,89.77
M-01,91.109
M-01,93.901
M-01,101.528
M-01,104.455
M-01,106.332
M-01,113.738
M-01,114.696
M-01,116.658
M-01,116.991
M-01,122.204
M-01,124.354
M-01,125.355
M-01,137.517
M-01,137.952
M-01,138.539
M-01,138.572
M-01,139.355
M-01,139.611
M-01,141.364
M-01,143.278
M-01,147.019
M-01,148.533
M-01,148.837
M-01,150.302
M-01,150.786
M-01,154.046
M-01,160.46
M-01,165.512
M-01,166.752
M-01,168.206
M-01,170.508
M-01,171.843
M-01,172.618
M-01,175.919
M-01,177.182
M-01,180.495
M-01,182.193
M-01,186.556
M-01,189.326
M-01,190.631
M-01,191.942
M-01,192.571
M-01,198.511
M-01,199.374
M-01,203.946
M-01,204.108
M-01,204.919
M-01,216.534
M-01,220.195
M-01,222.613
M-01,224.136
M-01,230.086
M-01,234.964
M-01,239.384
M-01,241.438
M-01,243.242
M-01,245.102
M-01,248.168
M-01,248.25
M-01,248.76
M-01,248.941
M-01,258.292
M-01,268.688
M-01,271.921
M-01,277.751
M-01,282.872
M-01,283.444
M-01,285.638
M-01,290.435
M-01,290.703
M-01,309.277
M-01,313.531
M-01,320.001
M-01,327.94
M-01,334.742
M-01,336.117
M-01,345.136
M-01,351.326
M-01,364.665
M-01,366.774
M-01,372.452
M-01,374.158
M-01,377.373
M-01,379.448
M-01,385.046
M-01,388.231
M-01,394.814
M-01,396.603
M-01,397.793
M-01,401.966
M-01,402.834
M-01,406.917
M-01,413.292
M-01,413.419
M-01,413.83
M-01,422.644
M-01,426.761
M-01,429.016
M-01,437.68
M-01,449.687
M-01,455.07
M-01,455.958
M-01,463.292
M-01,467.562
M-01,469.666
M-01,473.69
M-01,475.519
M-01,476.881
M-01,484.41
M-01,486.173
M-01,487.097
M-01,487.872
M-01,492.594
M-01,495.502
M-01,496.85
M-01,516.729
M-01,530.811
M-01,531.197
M-01,531.558
M-01,532.904
M-01,533.498
M-01,536.563
M-01,542.939
M-01,546.402
M-01,548.544
M-01,557.505
M-01,559.565
M-01,560.455
M-01,565.067
M-01,570.586
M-01,575.373
M-01,577.706
M-01,579.734
M-01,585.394
M-01,585.91
M-01,590.789
M-01,610.612
M-01,618.52
M-01,623.023
M-01,633.139
M-01,635.85
M-01,637.602
M-01,640.911
M-01,650.513
M-01,652.714
M-01,653.801
M-01,658.469
M-01,659.113
M-01,659.817
M-01,662.205
M-01,664.275
M-01,675.953
M-01,682.829
M-01,690.816
M-01,693.284
M-01,699.231
M-01,705.103
M-01,707.023
M-01,715.752
M-01,726.712
M-01,726.99
M-01,727.446
M-01,727.638
M-01,734.778
M-01,739.393
M-01,739.535
M-01,739.554
M-01,743.609
M-01,751.692
M-01,752.697
M-01,753.642
M-01,767.381
M-01,767.594
M-01,774.085
M-01,774.464
M-01,776.94
M-01,784.301
M-01,788.205
M-01,791.369
M-01,797.193
M-01,800.241
M-01,806.214
M-01,816.246
M-01,820.422
M-01,827.576
M-01,830.308
M-01,833.405
M-01,833.536
M-01,837.606
M-01,845.052
M-01,849.054
M-01,853.389
M-01,856.23
M-01,856.633
M-01,866.188
M-01,873.774
M-01,875.656
M-01,876.452
M-01,877.363
M-01,882.042
M-01,884.829
M-01,885.837
M-01,890.001
M-01,895.306
M-01,896.564
M-01,898.791
M-01,904.108
M-01,904.761
M-01,904.843
M-01,909.441
M-01,913.079
M-01,915.941
M-01,925.076
M-01,934.807
M-01,936.57
M-01,938.293
M-01,940.87
M-01,949.17
M-01,950.273
M-01,952.676
M-01,974.243
M-01,981.385
M-01,985.142
M-01,991.769
M-01,997.49
M-01,997.781
M-01,999.037
M-01,1016.593
M-01,1017.251
M-01,1027.781
M-01,1038.107
M-01,1043.245
M-01,1046.214
M-01,1050.137
M-01,1058.748
M-01,1060.852
M-01,1063.329
M-01,1063.804
M-01,1069.344
M-01,1073.377
M-01,1081.311
M-01,1084.615
M-01,1084.952
M-01,1085.91
M-01,1089.949
M-01,1095.779
M-01,1102.015
M-01,1102.681
M-01,1103.27
M-01,1111.471
M-01,1115.083
M-01,1115.219
M-01,1115.593
M-01,1118.902
M-01,1121.076
M-01,1121.562
M-01,1127.031
M-01,1128.073
M-01,1134.172
M-01,1134.895
M-01,1135.606
M-01,1139.382
M-01,1144.122
M-01,1145.114
M-01,1146.865
M-01,1158.279
M-01,1159.363
M-01,1161.01
M-01,1161.149
M-01,1170.269
M-01,1170.904
M-01,1171.995
M-01,1177.9
M-01,1180.252
M-01,1183.68
M-01,1188.998
M-01,1196.175
M-01,1199.717
M-01,1200.363
M-01,1201.323
M-01,1202.785
M-01,1204.191
M-01,1209.086
M-01,1210.95
M-01,1211.299
M-01,1212.964
M-01,1216.8
M-01,1218.057
M-01,1229.573
M-01,1230.328
M-01,1231.179
M-01,1234.256
M-01,1234.822
M-01,1237.593
M-01,1246.047
M-01,1247.245
M-01,1249.367
M-01,1249.823
M-01,1249.914
M-01,1257.609
M-01,1258.098
M-01,1258.393
M-01,1258.908
M-01,1263.357
M-01,1268.586
M-01,1271.44
M-01,1272.86
M-01,1275.13
M-01,1278.627
M-01,1284.407
M-01,1286.802
M-01,1302.903
M-01,1309.812
M-01,1315.066
M-01,1316.471
M-01,1323.146
M-01,1325.005
M-01,1326.83
M-01,1333.087
M-01,1343.823
M-01,1345.008
M-01,1346.127
M-01,1347.423
M-01,1349.924
M-01,1350.015
M-01,1354.509
M-01,1359.012
M-01,1361.877
M-01,1363.034
M-01,1364.968
M-01,1370.839
M-01,1375.662
M-01,1377.627
M-01,1378.989
M-01,1398.734
M-01,1400.292
M-01,1400.465
M-01,1404.374
M-01,1410.684
M-01,1421.101
M-01,1421.857
M-01,1423.281
M-01,1428.834
M-01,1429.702
M-01,1431.886
M-01,1444.865
M-01,1445.431
M-01,1446.203
M-01,1450.379
M-01,1457.214
M-01,1459.953
M-01,1464.58
M-01,1465.94
M-01,1472.277
M-01,1475.788
M-01,1475.987
M-01,1477.331
M-01,1484.996
M-01,1486.254
M-01,1488.004
M-01,1489.793
M-01,1490.558
M-01,1496.359
M-01,1496.81
M-01,1498.53
M-01,1501.338
M-01,1503.237
M-01,1503.66
M-01,1506.139
M-01,1507.213
M-01,1511.146
M-01,1523.156
M-01,1523.92
M-01,1524.624
M-01,1524.753
M-01,1527.211
M-01,1529.825
M-01,1533.61
M-01,1554.463
M-01,1556.249
M-01,1557.829
M-01,1560.384
M-01,1561.492
M-01,1568.046
M-01,1569.522
M-01,1573.157
M-01,1573.609
M-01,1581.936
M-01,1585.437
M-01,1589.593
M-01,1590.661
M-01,1593.547
M-01,1594.572
M-01,1596.904
M-01,1597.433
M-01,1598.007
M-01,1622.918
M-01,1624.313
M-01,1630.055
M-01,1637.714
M-01,1638.633
M-01,1649.471
M-01,1658.291
M-01,1660.377
M-01,1660.757
M-01,1661.873
M-01,1664.581
M-01,1665.415
M-01,1674.397
M-01,1675.292
M-01,1677.505
M-01,1677.624
M-01,1679.825
M-01,1680.807
M-01,1681.689
M-01,1684.44
M-01,1696.059
M-01,1700.526
M-01,1702.932
M-01,1707.411
M-01,1708.457
M-01,1717.776
M-01,1728.687
M-01,1728.756
M-01,1730.889
M-01,1734.174
M-01,1735.054
M-01,1735.986
M-01,1740.772
M-01,1744.413
M-01,1745.226
M-01,1747.886
M-01,1748.411
M-01,1748.797
M-01,1752.993
M-01,1753.736
M-01,1754.678
M-01,1764.113
M-01,1778.18
M-01,1780.69
M-01,1791.022
M-01,1805.433
M-01,1806.432
M-01,1807.693
M-01,1808.101
M-01,1814.767
M-01,1824.717
M-01,1826.152
M-01,1827.333
M-01,1830.743
M-01,1835.37
M-01,1836.298
M-01,1840.34
M-01,1840.999
M-01,1853.59
M-01,1857.461
M-01,1866.492
M-01,1866.518
M-01,1868.015
M-01,1868.521
M-01,1868.771
M-01,1873.611
M-01,1878.266
M-01,1882.024
M-01,1886.814
M-01,1887.114
M-01,1887.978
M-01,1889.819
M-01,1893.675
M-01,1894.077
M-01,1902.453
M-01,1909.669
M-01,1909.847
M-01,1929.068
M-01,1939.743
M-01,1947.236
M-01,1952.367
M-01,1957.725
M-01,1958.409
M-01,1958.908
M-01,1959.918
M-01,1961.817
M-01,1967.528
M-01,1975.384
M-01,1981.681
M-01,1984.398
M-01,1986.614
M-01,1988.0
M-01,1990.874
M-01,2004.192
M-01,2010.085
M-01,2011.17
M-01,2012.833
M-01,2023.412
M-01,2027.355
M-01,2033.592
M-01,2037.429
M-01,2040.349
M-01,2044.308
M-01,2048.977
M-01,2050.675
M-01,2053.483
M-01,2055.818
M-01,2058.297
M-01,2063.456
M-01,2065.41
M-01,2067.069
M-01,2082.876
M-01,2083.111
M-01,2086.325
M-01,2101.692
M-01,2103.658
M-01,2107.962
M-01,2108.317
M-01,2109.11
M-01,2114.521
M-01,2119.211
M-01,2119.87
M-01,2123.949
M-01,2125.128
