participant_id,session,reinforcement_rate,response_rate
1,1,5.72,22.83
1,2,6.43,22.10
1,3,7.88,28.45
1,4,8.01,27.51
1,5,6.15,23.78
1,6,9.23,31.20
1,7,7.54,27.63
1,8,8.89,30.77
1,9,10.12,32.91
1,10,9.67,34.58
1,11,11.34,37.12
1,12,10.45,33.89
1,13,8.78,29.64
1,14,11.90,39.46
1,15,12.34,41.22
1,16,13.01,40.15
1,17,10.88,37.53
1,18,14.22,43.87
1,19,13.55,42.01
1,20,15.10,47.29
2,1,6.10,22.41
2,2,5.88,20.15
2,3,7.45,23.89
2,4,7.12,21.76
2,5,8.34,24.98
2,6,6.90,22.34
2,7,9.56,26.10
2,8,8.01,23.55
2,9,10.22,27.34
2,10,9.78,26.89
2,11,11.01,28.15
2,12,10.55,27.44
2,13,12.34,30.12
2,14,11.67,29.76
2,15,13.12,31.89
2,16,12.89,31.10
2,17,14.01,33.45
2,18,13.45,32.67
2,19,15.23,34.89
2,20,14.78,33.98
3,1,5.45,23.18
3,2,6.78,27.34
3,3,5.90,23.89
3,4,7.34,29.67
3,5,8.12,31.15
3,6,6.55,26.45
3,7,9.01,35.23
3,8,8.67,32.78
3,9,10.45,39.12
3,10,9.89,38.56
3,11,11.23,42.01
3,12,10.01,37.89
3,13,12.56,47.23
3,14,11.78,43.67
3,15,13.34,49.15
3,16,12.01,44.89
3,17,14.12,52.34
3,18,13.89,51.78
3,19,15.01,55.12
3,20,14.45,53.34
4,1,5.89,20.12
4,2,6.34,20.89
4,3,7.12,22.34
4,4,7.78,23.67
4,5,8.45,24.98
4,6,6.67,21.15
4,7,9.34,26.89
4,8,8.90,25.45
4,9,10.01,28.12
4,10,9.56,27.34
4,11,11.12,30.56
4,12,10.78,29.23
4,13,12.01,32.45
4,14,11.45,30.78
4,15,13.23,34.89
4,16,12.67,33.12
4,17,14.34,36.78
4,18,13.78,35.15
4,19,15.12,38.23
4,20,14.56,37.01
5,1,5.56,21.34
5,2,6.12,21.89
5,3,7.34,22.15
5,4,7.01,21.78
5,5,8.78,23.67
5,6,6.45,21.34
5,7,9.12,24.12
5,8,8.56,23.45
5,9,10.34,25.56
5,10,9.90,24.89
5,11,11.45,26.34
5,12,10.12,25.12
5,13,12.23,27.45
5,14,11.89,26.78
5,15,13.45,28.56
5,16,12.34,27.12
5,17,14.56,29.89
5,18,13.90,28.78
5,19,15.34,30.45
5,20,14.78,29.67
6,1,5.34,22.45
6,2,6.56,25.89
6,3,7.01,27.12
6,4,7.89,29.78
6,5,8.23,30.56
6,6,6.78,26.34
6,7,9.45,34.12
6,8,8.12,30.89
6,9,10.67,38.01
6,10,9.34,34.23
6,11,11.56,40.89
6,12,10.89,38.45
6,13,12.34,43.12
6,14,11.12,39.56
6,15,13.78,47.34
6,16,12.56,43.78
6,17,14.45,49.56
6,18,13.23,45.89
6,19,15.67,53.12
6,20,14.89,50.78
7,1,6.01,23.45
7,2,6.78,24.89
7,3,7.23,25.78
7,4,7.90,27.34
7,5,8.56,28.89
7,6,7.12,25.56
7,7,9.78,31.45
7,8,8.34,28.34
7,9,10.45,33.12
7,10,9.90,31.78
7,11,11.23,34.89
7,12,10.67,33.45
7,13,12.45,37.56
7,14,11.89,36.12
7,15,13.56,39.89
7,16,12.78,38.01
7,17,14.23,41.34
7,18,13.67,40.12
7,19,15.45,44.01
7,20,14.90,42.78
8,1,5.12,24.12
8,2,6.45,28.78
8,3,7.34,31.89
8,4,7.01,30.56
8,5,8.90,37.78
8,6,6.23,27.56
8,7,9.56,40.34
8,8,8.78,37.12
8,9,10.34,43.45
8,10,9.12,38.89
8,11,11.78,48.78
8,12,10.45,43.56
8,13,12.67,52.12
8,14,11.34,47.23
8,15,13.89,56.89
8,16,12.12,50.12
8,17,14.56,59.34
8,18,13.78,56.45
8,19,15.23,61.89
8,20,14.01,57.23
